fneg,float,76
fadd,float,75
fsub,float,75
fmul,float,75
fdiv,float,75
fcmp,float,62
fpext_float_to_double,float,75
fmuladd,float,75
sin,float,416
cos,float,415
tan,float,971
exp,float,459
log,float,308
sqrt,float,122
expm1,float,502
log1p,float,484
cbrt,float,3042
pow,float,546
fabs,float,75
fma,float,75
maxnum,float,75
minnum,float,75
ceil,float,75
floor,float,75
exp2,float,468
log10,float,517
log2,float,309
rint,float,299
round,float,304
trunc,float,75
copysign,float,75
fdim,float,306
fmod,float,312
asin,float,351
acos,float,309
atan,float,797
atan2,float,2598
sinh,float,451
cosh,float,323
tanh,float,511
asinh,float,479
acosh,float,338
atanh,float,358
hypot,float,1831
erf,float,318
lgamma,float,1647
tgamma,float,3278
remainder,float,2812
fneg,double,77
fadd,double,76
fsub,double,77
fmul,double,77
fdiv,double,116
fcmp,double,63
fptrunc_double_to_float,double,76
fmuladd,double,75
sin,double,3505
cos,double,3524
tan,double,4144
exp,double,711
log,double,340
sqrt,double,214
expm1,double,305
log1p,double,428
cbrt,double,991
pow,double,1182
fabs,double,75
fma,double,75
maxnum,double,75
minnum,double,75
ceil,double,75
floor,double,75
exp2,double,397
log10,double,586
log2,double,315
rint,double,295
round,double,297
trunc,double,74
copysign,double,74
fdim,double,299
fmod,double,303
asin,double,550
acos,double,540
atan,double,767
atan2,double,1129
sinh,double,626
cosh,double,535
tanh,double,309
asinh,double,479
acosh,double,358
atanh,double,326
hypot,double,496
erf,double,310
lgamma,double,1867
tgamma,double,1859
remainder,double,1006
